Isin,Mkt,Codice,Bloomberg Code,VOLUME_AVG_30D
DE000VN9AA37,SDX,FSPX7S,LW454499@SEDX Corp,"120,176.77"
IE00B7XD2195,ETF,3SIL,3SIL IM Equity,"118,561.30"
IT0001207098,MTA,ACE,ACE IM Equity,"116,559.60"
JE00BYQY3Z98,ETF,3CFL,3CFL IM Equity,"115,470.00"
LU0969639128,ETF,SS1EUA,SS1EUA IM Equity,"110,033.50"
IT0003007728,MTA,TOD,TOD IM Equity,"108,975.60"
IE00BYPLS672,ETF,ISPY,ISPY IM Equity,"107,724.30"
DE0002635307,ETF,EXSA,EXSA IM Equity,"104,788.60"
LU0832435464,ETF,LVO,LVO IM Equity,"104,314.20"
IT0003492391,MTA,DIA,DIA IM Equity,"100,385.90"
IT0003115950,MTA,DLG,DLG IM Equity,"100,174.30"
FDAX201903,Eurex,,GXH9 Comdty,"98,750.93"
IE00B5M4WH52,ETF,SEML,SEML IM Equity,"97,467.27"
IT0003850929,MTA,PRT,PRT IM Equity,"95,295.34"
LU0292106753,ETF,XSSX,XSSX IM Equity,"93,885.40"
IT0003126783,MTA,CEM,CEM IM Equity,"93,011.60"
FBTP201903,Eurex,,IKH9 Comdty,"90,966.23"
LU0411075020,ETF,XSD2,XSD2 IM Equity,"90,706.60"
JE00B992Q458,ETF,GE3L,GE3L IM Equity,"89,613.40"
IT0001044996,MTA,DOB,DOB IM Equity,"87,115.60"
JE00BYQY5082,ETF,NG3S,NG3S IM Equity,"86,464.13"
LU1540727648,SDX,SBRE7S,AM597989@SEDX Corp,"82,804.70"
FR0010869495,ETF,DAX2S,DAX2S IM Equity,"77,052.84"
IE00B4QNHZ41,ETF,DES2,DES2 IM Equity,"75,734.37"
LU0950671239,ETF,UKEUBH,UKEUBH IM Equity,"73,773.77"
LU1048315243,ETF,CBUS5E,CBUS5E IM Equity,"71,446.66"
LU0952581584,ETF,XJSE,XJSE IM Equity,"70,934.84"
FR0010446146,ETF,BERMIB,BERMIB IM Equity,"70,753.70"
NL0012666408,SDX,P66408,AS873220@EXCH Corp,"70,050.70"
IE00BD4TYG73,ETF,USEUWH,USEUWH IM Equity,"69,082.73"
LU0476289466,ETF,XMEX,XMEX IM Equity,"69,081.47"
IE00BMW3QX54,ETF,ROBO,ROBO IM Equity,"67,169.60"
IE00BYM11K57,ETF,ACWIE,ACWIE IM Equity,"65,671.43"
IT0001049623,MTA,IMA,IMA IM Equity,"64,095.63"
FR0010361683,ETF,INDI,INDI IM Equity,"63,999.83"
IE00BYZK4776,ETF,HEAL,HEAL IM Equity,"63,691.10"
IT0004093263,MTA,ASC,ASC IM Equity,"61,317.27"
IT0005054967,MTA,RWAY,RWAY IM Equity,"60,833.40"
IE00BLS09N40,ETF,3BAL,3BAL IM Equity,"59,656.70"
LU1324516308,ETF,SBEME,SBEME IM Equity,"58,158.10"
IT0003097257,MTA,BSS,BSS IM Equity,"56,824.00"
